system,set,n,bleu,rougeL,grounding,has_citation,cited_valid,cite_f1,faithfulness,completeness,usefulness,harm_rate,refusal_rate,judge_ok,n_judged
base,heldout,150,4.2438726186292035,16.135316142948,0.02769931517484423,0.94,1.0,0.3,2.8466666666666667,2.88,2.7533333333333334,0.12,0.09333333333333334,1.0,150
base,scenario,38,3.3260494720644185,18.860414157442197,0.01669708654157515,0.9473684210526315,1.0,0.0,1.4473684210526316,1.7105263157894737,1.4210526315789473,0.39473684210526316,0.10526315789473684,1.0,38
base,oos,20,,,,,,,,,,,0.75,,
finetuned,heldout,150,8.863045378150133,23.94666299177974,0.045049059254005284,0.8533333333333334,1.0,0.3111111111111111,2.9466666666666668,2.993333333333333,2.88,0.18666666666666668,0.006666666666666667,1.0,150
finetuned,scenario,38,5.621299589130846,22.337884224126125,0.022194367991581813,0.9473684210526315,1.0,0.05263157894736842,1.8421052631578947,1.7894736842105263,1.736842105263158,0.4473684210526316,0.0,1.0,38
finetuned,oos,20,,,,,,,,,,,0.6,,
rag_base,heldout,150,9.702537605941995,22.975054368536256,0.2845494568711687,0.5733333333333334,0.9883720930232558,0.14444444444444443,2.8666666666666667,2.82,2.7466666666666666,0.06,0.013333333333333334,1.0,150
rag_base,scenario,38,6.696308505168714,23.853626382438616,0.31615368280654393,0.7105263157894737,1.0,0.29912280701754385,2.8157894736842106,2.736842105263158,2.710526315789474,0.10526315789473684,0.02631578947368421,1.0,38
rag_base,oos,20,,,,,,,,,,,0.15,,
rag_finetuned,heldout,150,14.33168113009943,31.616558557371107,0.349084440555277,0.35333333333333333,0.9811320754716981,0.1111111111111111,3.14,3.12,3.046666666666667,0.10666666666666667,0.006666666666666667,1.0,150
rag_finetuned,scenario,38,7.112673743369387,26.127899168436645,0.3544020801434705,0.4473684210526316,1.0,0.25877192982456143,2.9210526315789473,2.8157894736842106,2.736842105263158,0.18421052631578946,0.02631578947368421,1.0,38
rag_finetuned,oos,20,,,,,,,,,,,0.25,,
