metric,system,n,ref_mean,sys_mean,mean_diff,ci_low,ci_high,p,p_holm,effect_r,significant
bleu,finetuned,146,4.313437050530136,8.943479761234569,4.6300427107044335,3.6021559128506566,5.724111342213829,2.8120475604727557e-19,8.436142681418267e-19,0.8563041655018172,True
bleu,rag_base,146,4.313437050530136,9.69564693176243,5.382209881232294,3.381698501397343,7.661443365094606,3.318462980679545e-05,3.318462980679545e-05,0.39595564253098503,True
bleu,rag_finetuned,146,4.313437050530136,14.408302381118263,10.094865330588124,7.051481328489946,13.400670243667166,1.373462432469696e-12,2.746924864939392e-12,0.6760786506383376,True
rougeL,finetuned,146,16.24951727591744,24.0743366091681,7.824819333250657,6.3885631804232785,9.353317468664875,8.090704559397664e-19,2.427211367819299e-18,0.853923853923854,True
rougeL,rag_base,146,16.24951727591744,22.932045590466316,6.682528314548873,3.943244494384885,9.53185280232954,0.00024111745063636677,0.00024111745063636677,0.3526819923371648,True
rougeL,rag_finetuned,146,16.24951727591744,31.635329424871102,15.38581214895366,11.980506871262886,19.05273276147568,4.9626325130119686e-17,9.925265026023937e-17,0.8029286726499764,True
grounding,finetuned,146,0.028207279905980376,0.04520695911615025,0.016999679210169868,0.00729094139454505,0.02742575778781369,0.0031803310662631597,0.0031803310662631597,0.30774356923897106,True
grounding,rag_base,146,0.028207279905980376,0.28155249294619605,0.25334521304021573,0.21913425104524661,0.2866869550352485,7.372705361909294e-22,2.211811608572788e-21,0.9393627954779034,True
grounding,rag_finetuned,142,0.026994213318869243,0.3520452058462067,0.32505099252733743,0.2789045248438315,0.3696220997790712,1.4256715203723719e-21,2.8513430407447438e-21,0.9428939458995277,True
cite_f1,finetuned,15,0.3,0.3111111111111111,0.011111111111111108,-0.1,0.13333333333333333,0.6547208460185769,0.6547208460185769,0.33333333333333337,False
cite_f1,rag_base,15,0.3,0.14444444444444443,-0.15555555555555556,-0.38888888888888895,0.07777777777777777,0.2422880965362707,0.5870032276309245,0.5238095238095238,False
cite_f1,rag_finetuned,15,0.3,0.1111111111111111,-0.1888888888888889,-0.43333333333333335,0.06666666666666667,0.1956677425436415,0.5870032276309245,0.5714285714285714,False
cited_valid,finetuned,121,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
cited_valid,rag_base,80,1.0,0.9875,-0.0125,-0.0375,0.0,0.31731050786291415,0.9519315235887424,1.0,False
cited_valid,rag_finetuned,51,1.0,0.9803921568627451,-0.0196078431372549,-0.058823529411764705,0.0,0.31731050786291415,0.9519315235887424,1.0,False
faithfulness,finetuned,146,2.8424657534246576,2.9452054794520546,0.10273972602739725,-0.21232876712328766,0.4246575342465753,0.5438854439926564,1.0,0.0782213567023694,False
faithfulness,rag_base,146,2.8424657534246576,2.863013698630137,0.02054794520547945,-0.3698630136986301,0.4178082191780822,0.836292074257627,1.0,0.023636363636363678,False
faithfulness,rag_finetuned,146,2.8424657534246576,3.1164383561643834,0.273972602739726,-0.14383561643835616,0.684931506849315,0.1744920611551699,0.5234761834655097,0.153368278004271,False
completeness,finetuned,146,2.8767123287671232,2.993150684931507,0.11643835616438356,-0.2054794520547945,0.4452054794520548,0.49823176622239784,0.9964635324447957,0.0864197530864198,False
completeness,rag_base,146,2.8767123287671232,2.815068493150685,-0.06164383561643835,-0.4520547945205479,0.3287671232876712,0.8238320019675276,0.9964635324447957,0.02523781789943702,False
completeness,rag_finetuned,146,2.8767123287671232,3.095890410958904,0.2191780821917808,-0.17825342465753408,0.6232876712328768,0.27712919842620054,0.8313875952786016,0.12288875946418176,False
usefulness,finetuned,146,2.7465753424657535,2.8767123287671232,0.13013698630136986,-0.2054794520547945,0.4657534246575342,0.4565027807670393,0.9130055615340786,0.09424872026498043,False
usefulness,rag_base,146,2.7465753424657535,2.73972602739726,-0.00684931506849315,-0.3904109589041096,0.3835616438356164,0.9158610148681982,0.9158610148681982,0.012162440733869295,False
usefulness,rag_finetuned,146,2.7465753424657535,3.0205479452054793,0.273972602739726,-0.14383561643835616,0.684931506849315,0.18498144310976927,0.5549443293293078,0.14948553678897303,False
harm,finetuned,146,0.11643835616438356,0.1917808219178082,0.07534246575342465,0.00684931506849315,0.14383561643835616,0.04108722452782128,0.12326167358346383,0.3793103448275862,False
harm,rag_base,146,0.11643835616438356,0.06164383561643835,-0.0547945205479452,-0.1232876712328767,0.0136986301369863,0.10247043485974937,0.20494086971949874,0.33333333333333337,False
harm,rag_finetuned,146,0.11643835616438356,0.1095890410958904,-0.00684931506849315,-0.07534246575342465,0.06164383561643835,0.8414805811217939,0.8414805811217939,0.040000000000000036,False
refusal,finetuned,146,0.08904109589041095,0.00684931506849315,-0.0821917808219178,-0.13013698630136986,-0.03424657534246575,0.0013406411172294783,0.0040219233516884355,0.8571428571428572,True
refusal,rag_base,146,0.08904109589041095,0.0136986301369863,-0.07534246575342465,-0.1232876712328767,-0.03424657534246575,0.0022819372533154484,0.0040219233516884355,0.8461538461538461,True
refusal,rag_finetuned,146,0.08904109589041095,0.00684931506849315,-0.0821917808219178,-0.13013698630136986,-0.03424657534246575,0.0013406411172294783,0.0040219233516884355,0.8571428571428572,True
