metric,system,n,ref_mean,sys_mean,mean_diff,ci_low,ci_high,p,p_holm,effect_r,significant
bleu,finetuned,38,3.3260494720644185,5.621299589130846,2.2952501170664283,1.074641681377363,3.611071492426851,0.0005011212124372832,0.0005011212124372832,0.6248313090418354,True
bleu,rag_base,38,3.3260494720644185,6.696308505168713,3.3702590331042956,1.7615139296149056,4.981618720120122,0.00016223934653680772,0.00032447869307361543,0.6707152496626181,True
bleu,rag_finetuned,38,3.3260494720644185,7.112673743369389,3.7866242713049707,2.3721777479388733,5.353217371162185,8.667033398523927e-06,2.600110019557178e-05,0.7705802968960864,True
rougeL,finetuned,38,18.8604141574422,22.337884224126125,3.4774700666839293,1.5125309165549736,5.491561771776333,0.004043195811391342,0.007687474077101797,0.524966261808367,True
rougeL,rag_base,38,18.8604141574422,23.853626382438616,4.9932122249964195,1.6003936427279588,8.39785937905883,0.0038437370385508984,0.007687474077101797,0.5276653171390013,True
rougeL,rag_finetuned,38,18.8604141574422,26.12789916843665,7.267485010994449,4.621819403522298,10.025140665030666,6.60020305076614e-06,1.980060915229842e-05,0.7786774628879892,True
grounding,finetuned,38,0.01669708654157515,0.02219436799158181,0.0054972814500066644,-0.003111241051133013,0.014098063709164596,0.2724291943940169,0.2724291943940169,0.22580645161290325,False
grounding,rag_base,38,0.01669708654157515,0.31615368280654393,0.29945659626496873,0.23290710273564474,0.3682661612934165,3.278202145120633e-07,6.556404290241266e-07,0.9630156472261735,True
grounding,rag_finetuned,38,0.01669708654157515,0.3544020801434705,0.33770499360189543,0.258556846105581,0.4190161189249376,2.1651415653446708e-07,6.495424696034013e-07,0.990990990990991,True
cite_f1,finetuned,38,0.0,0.05263157894736842,0.05263157894736842,0.0,0.13157894736842105,0.15729920705028502,0.15729920705028502,1.0,False
cite_f1,rag_base,38,0.0,0.29912280701754385,0.29912280701754385,0.17894736842105263,0.4298245614035087,0.0005775504027930901,0.0017326512083792704,1.0,True
cite_f1,rag_finetuned,38,0.0,0.2587719298245614,0.2587719298245614,0.14035087719298245,0.39035087719298245,0.0017704568140635805,0.003540913628127161,1.0,True
cited_valid,finetuned,34,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
cited_valid,rag_base,27,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
cited_valid,rag_finetuned,16,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
faithfulness,finetuned,38,1.4473684210526316,1.8421052631578947,0.39473684210526316,-0.13157894736842105,0.9210526315789473,0.13435043957027987,0.13435043957027987,0.4476190476190476,False
faithfulness,rag_base,38,1.4473684210526316,2.8157894736842106,1.368421052631579,0.8421052631578947,1.9210526315789473,0.00014223688854558136,0.0003752500049470926,0.9789473684210527,True
faithfulness,rag_finetuned,38,1.4473684210526316,2.9210526315789473,1.4736842105263157,0.8947368421052632,2.0526315789473686,0.0001250833349823642,0.0003752500049470926,0.9209486166007905,True
completeness,finetuned,38,1.7105263157894737,1.7894736842105263,0.07894736842105263,-0.47368421052631576,0.631578947368421,0.8792392017675921,0.8792392017675921,0.03809523809523807,False
completeness,rag_base,38,1.7105263157894737,2.736842105263158,1.0263157894736843,0.47368421052631576,1.631578947368421,0.00248578414595482,0.005553506768281483,0.7619047619047619,True
completeness,rag_finetuned,38,1.7105263157894737,2.8157894736842106,1.105263157894737,0.5,1.7105263157894737,0.0018511689227604944,0.005553506768281483,0.7046153846153846,True
usefulness,finetuned,38,1.4210526315789473,1.736842105263158,0.3157894736842105,-0.21052631578947367,0.8421052631578947,0.2107472742226244,0.2107472742226244,0.3583333333333333,False
usefulness,rag_base,38,1.4210526315789473,2.710526315789474,1.2894736842105263,0.7631578947368421,1.8421052631578947,0.00018191805025714205,0.0005457541507714261,0.9631578947368421,True
usefulness,rag_finetuned,38,1.4210526315789473,2.736842105263158,1.3157894736842106,0.7368421052631579,1.9210526315789473,0.0002735673810001081,0.0005471347620002162,0.8735177865612649,True
harm,finetuned,38,0.39473684210526316,0.4473684210526316,0.05263157894736842,-0.15789473684210525,0.2631578947368421,0.6373518882339371,0.6373518882339371,0.11111111111111116,False
harm,rag_base,38,0.39473684210526316,0.10526315789473684,-0.2894736842105263,-0.47368421052631576,-0.10526315789473684,0.0045086983649042355,0.013526095094712707,0.7333333333333334,True
harm,rag_finetuned,38,0.39473684210526316,0.18421052631578946,-0.21052631578947367,-0.39473684210526316,-0.02631578947368421,0.04550026389635839,0.09100052779271678,0.5,False
refusal,finetuned,38,0.10526315789473684,0.0,-0.10526315789473684,-0.21052631578947367,-0.02631578947368421,0.04550026389635839,0.13650079168907517,1.0,False
refusal,rag_base,38,0.10526315789473684,0.02631578947368421,-0.07894736842105263,-0.18421052631578946,0.02631578947368421,0.17971249487899976,0.3594249897579995,0.6,False
refusal,rag_finetuned,38,0.10526315789473684,0.02631578947368421,-0.07894736842105263,-0.21052631578947367,0.02631578947368421,0.17971249487899976,0.3594249897579995,0.6,False
